;Наименование вида расходов;Направление расходов;Отнесено;Дата проведения
20;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1480.03;16.01.2018
21;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;11.6;22.01.2018
22;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;11.6;09.02.2018
23;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1601.34;14.02.2018
24;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;11.6;06.03.2018
25;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1722.65;15.03.2018
26;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1019.03;06.04.2018
27;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;11.6;11.04.2018
28;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;11.6;08.05.2018
29;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1140.35;16.05.2018
30;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1091.82;07.06.2018
31;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;11.6;08.06.2018
32;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;11.6;06.07.2018
33;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1043.3;13.07.2018
34;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1011.86;16.08.2018
35;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.09;16.08.2018
36;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.09;07.09.2018
37;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;885.38;14.09.2018
38;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;1188.94;09.10.2018
39;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.09;17.10.2018
40;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.09;09.11.2018
41;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;733.6;14.11.2018
42;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;12.09;07.12.2018
43;Расходы на коммунальные услуги;Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;809.49;12.12.2018
45;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;681.86;16.01.2018
46;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;10.69;22.01.2018
47;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;10.69;09.02.2018
48;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;737.75;14.02.2018
49;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;10.69;06.03.2018
50;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;793.64;15.03.2018
51;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;469.47;06.04.2018
52;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;10.69;11.04.2018
53;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;10.69;08.05.2018
54;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;525.36;16.05.2018
55;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;503.01;07.06.2018
56;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;10.69;08.06.2018
57;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;10.69;06.07.2018
58;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;480.65;13.07.2018
59;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;500.68;16.08.2018
60;Расходы на коммунальные услуги;Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100;11.97;16.08.2018
