;Наименование вида расходов;Направление расходов;Отнесено;Дата проведения
25;Расходы по оплате потребления электроэнергии;134.1100.010000 Плата за технологическое присоединение к электрическим сетям г. Владивосток ул. Калинина,261;32790.96;15.07.2020
28;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд.  Вл-Александровское, ул. Седова, 23;215.77;21.01.2020
29;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд.  Вл-Александровское, ул. Седова, 23;177.52;20.02.2020
30;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд.  Вл-Александровское, ул. Седова, 23;166.68;19.03.2020
31;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд.  Вл-Александровское, ул. Седова, 23;176.86;17.04.2020
32;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд.  Вл-Александровское, ул. Седова, 23;195.62;20.05.2020
33;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд.  Вл-Александровское, ул. Седова, 23;179.72;19.06.2020
34;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд.  Вл-Александровское, ул. Седова, 23;195.17;20.07.2020
35;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд.  Вл-Александровское, ул. Седова, 23;200.93;19.08.2020
36;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд.  Вл-Александровское, ул. Седова, 23;193.72;21.09.2020
37;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд.  Вл-Александровское, ул. Седова, 23;224;20.10.2020
38;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд.  Вл-Александровское, ул. Седова, 23;171.22;23.11.2020
39;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд.  Вл-Александровское, ул. Седова, 23;176.92;18.12.2020
41;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,111;15818.5;18.03.2020
42;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,111;14899.79;22.04.2020
43;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,111;11006.82;20.05.2020
44;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,111;11612.71;17.06.2020
45;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,111;14438.75;21.07.2020
46;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,111;18499.34;18.08.2020
47;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,111;36315.88;18.09.2020
48;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,111;35009.11;21.10.2020
